,predictor,AIC
273,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'coverp'],311046.6831173917
274,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'powerc'],311031.715899937
275,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'sportc'],311184.1704094251
276,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'coverp'],311175.03995620046
277,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'powerc'],311169.7349204394
278,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'coverp'],311012.2582219878
279,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'powerc'],311108.2357420711
280,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'coverp' 'powerc'],311128.3652590967
281,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'sportc'],311013.7388010605
282,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'coverp'],311035.28582255845
283,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'powerc'],311010.7654130355
284,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'coverp'],310857.1847732576
285,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'powerc'],310944.08227592
286,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'coverp' 'powerc'],310987.3846757364
287,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'coverp'],310994.0069130561
288,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'powerc'],311085.4533187079
289,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'coverp' 'powerc'],311110.3958927869
290,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'coverp' 'powerc'],310980.44262250385
291,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc'],311100.32089750416
292,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc'],310991.8331784493
293,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp'],311043.15504788933
