,predictor,AIC
196,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'coverp' 'powerc'],38754.35393312232
197,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'coverp' 'powerc'],38872.13217018929
198,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'],38771.89960359921
199,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'],38743.36878654312
200,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'powerc'],38766.487311813486
201,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'],38743.772743222624
202,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'powerc'],38767.377511430954
203,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'coverp' 'powerc'],38733.80476308723
204,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'],38862.05827325945
205,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'powerc'],38880.45046175136
206,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'coverp' 'powerc'],38852.40932554654
207,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'coverp' 'powerc'],38853.46274323775
208,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'],38763.73204788212
209,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'powerc'],38785.477751758786
210,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'coverp' 'powerc'],38758.376130026554
211,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'coverp' 'powerc'],38757.714604294546
212,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'coverp' 'powerc'],38875.558185449314
213,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],38748.70401367683
214,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],38773.3435777181
215,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],38741.19050427591
216,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],38740.77712396549
217,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],38859.83103150978
218,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],38761.72149331732
219,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'],38762.27685645155
220,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'],38737.6127007378
221,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'powerc'],38754.88290165932
222,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'],38737.995532610206
223,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc' 'powerc'],38755.441525326205
224,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp' 'powerc'],38728.335221698915
225,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'],38855.78241931147
226,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc' 'powerc'],38866.39174961812
227,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'coverp' 'powerc'],38845.8698130244
228,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'coverp' 'powerc'],38846.86715479204
229,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'],38757.49893141515
230,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc' 'powerc'],38776.4314333337
231,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'coverp' 'powerc'],38752.57708236242
232,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'coverp' 'powerc'],38751.93128264749
233,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'coverp' 'powerc'],38869.32778515791
234,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],38742.956698860806
235,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],38761.459228812186
236,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],38735.66440147045
237,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],38735.24254569184
238,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],38853.18282759684
239,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],38755.97475233695
240,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],38745.3627240949
241,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],38767.912666193704
242,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],38735.30158854277
243,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],38735.061133273266
244,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],38853.60328599448
245,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],38759.24349604123
246,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],38742.3744876186
247,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'
 'coverp']",38739.60740505597
248,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'
 'powerc']",38756.21267274785
249,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'
 'powerc']",38729.85712452609
250,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'
 'powerc']",38729.603454003525
251,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'
 'powerc']",38847.06993296599
252,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'
 'powerc']",38753.48559404036
253,"['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'
 'powerc']",38736.86018245273
254,"['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'
 'powerc']",38736.566614248935
255,"['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'
 'coverp' 'powerc']",38731.13318055729
256,"['ageph' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'
 'powerc']",39011.500109731045
257,['ageph' 'agecar'],39002.08175171789
258,['ageph' 'sexp'],39008.938335404084
259,['ageph' 'fuelc'],39002.90144485297
260,['ageph' 'split'],38877.48290133859
261,['ageph' 'fleetc'],39011.73859666111
262,['ageph' 'sportc'],39013.01937225084
263,['ageph' 'coverp'],39002.872106645555
264,['ageph' 'powerc'],39011.35040294886
265,['ageph' 'agecar' 'sexp'],38999.83284479429
266,['ageph' 'agecar' 'fuelc'],38992.04390741133
267,['ageph' 'agecar' 'split'],38869.158726627255
268,['ageph' 'agecar' 'fleetc'],39002.518181986496
269,['ageph' 'agecar' 'sportc'],39003.59934379908
270,['ageph' 'agecar' 'coverp'],38996.20222446794
