,predictor,BIC
239,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'coverp' 'powerc'],311348.7004844099
240,['ageph' 'lat' 'long' 'sexp' 'sportc' 'coverp' 'powerc'],311206.6747665483
241,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc'],311322.3981405983
242,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'coverp'],311337.8005799002
243,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'powerc'],311305.83010593435
244,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'coverp'],311154.8433070365
245,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'powerc'],311250.4876815503
246,['ageph' 'lat' 'long' 'fuelc' 'split' 'coverp' 'powerc'],311299.93551825965
247,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'coverp'],311266.6527730061
248,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'powerc'],311355.7729547573
249,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'coverp' 'powerc'],311396.2886407043
250,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'coverp' 'powerc'],311269.70280178613
251,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'coverp'],311130.66988041037
252,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'powerc'],311224.7827474969
253,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp' 'powerc'],311278.3932237822
254,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp' 'powerc'],311133.1978435372
255,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp' 'powerc'],311241.85914292966
256,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split'],311286.4097038649
257,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc'],311416.2359021522
258,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'sportc'],311305.19135986804
259,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'coverp'],311339.54797342815
260,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'powerc'],311323.47583705344
261,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc'],311273.9208090186
262,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'sportc'],311152.39281184255
263,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'coverp'],311216.8541862186
264,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'powerc'],311181.11921019445
265,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'sportc'],311283.58275450894
266,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'coverp'],311324.6739418328
267,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'powerc'],311300.5065222562
268,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'coverp'],311144.281762134
269,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'powerc'],311227.68222473335
